DATE,TOTAL_SHARES
2016-06-07 00:00:00-04:00,103952000
2016-09-07 00:00:00-04:00,103982000
2016-12-06 00:00:00-05:00,101870000
2016-12-06 00:00:00-05:00,101875000
2016-12-10 00:00:00-05:00,101870000
2017-03-27 00:00:00-04:00,101262000
2017-03-27 00:00:00-04:00,101211000
2017-04-28 00:00:00-04:00,101264000
2017-04-28 00:00:00-04:00,101262000
2017-04-28 00:00:00-04:00,101260000
2017-05-12 00:00:00-04:00,101260000
2017-05-17 00:00:00-04:00,101260000
2017-06-06 00:00:00-04:00,101264000
2017-06-06 00:00:00-04:00,101310000
2017-06-06 00:00:00-04:00,101307000
2017-09-06 00:00:00-04:00,101583000
2017-09-06 00:00:00-04:00,101871000
2017-09-06 00:00:00-04:00,101304000
2017-09-06 00:00:00-04:00,101307000
2017-09-06 00:00:00-04:00,101947000
2018-11-14 00:00:00-05:00,101947000
2018-11-16 00:00:00-05:00,101947000
2018-11-19 00:00:00-05:00,101947000
2018-11-21 00:00:00-05:00,101947000
2018-11-22 00:00:00-05:00,101947000
2018-11-26 00:00:00-05:00,101947000
2018-11-28 00:00:00-05:00,101947000
2018-11-29 00:00:00-05:00,101947000
2018-12-05 00:00:00-05:00,101947000
2018-12-06 00:00:00-05:00,101947000
2018-12-07 00:00:00-05:00,101947000
2018-12-09 00:00:00-05:00,101947000
2018-12-10 00:00:00-05:00,101947000
2018-12-11 00:00:00-05:00,101947000
2018-12-12 00:00:00-05:00,101947000
2018-12-14 00:00:00-05:00,101947000
2018-12-16 00:00:00-05:00,101947000
2018-12-17 00:00:00-05:00,101968000
2018-12-19 00:00:00-05:00,101968000
2018-12-21 00:00:00-05:00,101968000
2018-12-30 00:00:00-05:00,101968000
2019-01-05 00:00:00-05:00,101968000
2019-01-07 00:00:00-05:00,101968000
2019-01-09 00:00:00-05:00,101968000
2019-01-10 00:00:00-05:00,101968000
2019-01-12 00:00:00-05:00,101968000
2019-01-14 00:00:00-05:00,101968000
2019-01-16 00:00:00-05:00,101968000
2019-01-17 00:00:00-05:00,101968000
2019-01-20 00:00:00-05:00,101968000
2019-01-22 00:00:00-05:00,101968000
2019-01-24 00:00:00-05:00,101968000
2019-01-25 00:00:00-05:00,101968000
2019-01-28 00:00:00-05:00,101968000
2019-01-29 00:00:00-05:00,101968000
2019-01-30 00:00:00-05:00,101968000
2019-02-04 00:00:00-05:00,101968000
2019-02-07 00:00:00-05:00,101968000
2019-02-10 00:00:00-05:00,101968000
2019-02-11 00:00:00-05:00,101968000
2019-02-13 00:00:00-05:00,101968000
2019-02-14 00:00:00-05:00,101968000
2019-02-15 00:00:00-05:00,101968000
2019-02-16 00:00:00-05:00,101968000
2019-02-17 00:00:00-05:00,101968000
2019-02-19 00:00:00-05:00,101968000
2019-02-20 00:00:00-05:00,101968000
2019-02-27 00:00:00-05:00,101968000
2019-02-28 00:00:00-05:00,101968000
2019-03-07 00:00:00-05:00,101968000
2019-03-08 00:00:00-05:00,101968000
2019-03-10 00:00:00-05:00,101968000
2019-03-12 00:00:00-04:00,101968000
2019-03-14 00:00:00-04:00,101968000
2019-03-17 00:00:00-04:00,101968000
2019-03-18 00:00:00-04:00,101968000
2019-03-26 00:00:00-04:00,101968000
2019-03-29 00:00:00-04:00,101968000
2019-04-01 00:00:00-04:00,101968000
2019-04-05 00:00:00-04:00,102267000
2019-04-06 00:00:00-04:00,102267000
2019-04-09 00:00:00-04:00,102267000
2019-04-10 00:00:00-04:00,102267000
2019-04-14 00:00:00-04:00,102267000
2019-04-16 00:00:00-04:00,102267000
2019-04-17 00:00:00-04:00,102267000
2019-04-18 00:00:00-04:00,102267000
2019-04-21 00:00:00-04:00,102267000
2019-04-29 00:00:00-04:00,102267000
2019-04-30 00:00:00-04:00,102267000
2019-05-02 00:00:00-04:00,102267000
2019-05-04 00:00:00-04:00,102267000
2019-05-05 00:00:00-04:00,102267000
2019-05-09 00:00:00-04:00,102267000
2019-05-10 00:00:00-04:00,102267000
2019-05-12 00:00:00-04:00,102267000
2019-05-14 00:00:00-04:00,102267000
2019-05-19 00:00:00-04:00,102269000
2019-05-21 00:00:00-04:00,102269000
2019-05-22 00:00:00-04:00,102269000
2019-05-24 00:00:00-04:00,102269000
2019-05-28 00:00:00-04:00,102269000
2019-06-02 00:00:00-04:00,102269000
2019-06-03 00:00:00-04:00,102269000
2019-06-05 00:00:00-04:00,102269000
2019-06-10 00:00:00-04:00,102269000
2019-06-11 00:00:00-04:00,102269000
2019-06-13 00:00:00-04:00,102269000
