SETTLEMENT_DATE,CUSIP,SYMBOL,QUANTITY_FAILS,DESCRIPTION,PRICE
20160104,36467W109,GME,9.0,GAMESTOP CORP (HLDG CO) CL A,28.04
20160104,464287507,IJH,1353.0,ISHARES CORE S&P MID-CAP ETF,139.38
20160104,464287622,IWB,1440.0,ISHARES RUSSELL 1000 INDEX ETF,113.31
20160104,464287655,IWM,39104.0,ISHARES RUSSELL 2000 ETF,112.51
20160104,78464A714,XRT,232762.0,SPDR SERIES TR SPDR S&P RETAIL,43.24
20160104,808524763,FNDA,4194.0,SCHWAB FUNDAMENTAL U S SMALL C,27.95
20160104,922908611,VBR,10499.0,VANGUARD SMALL-CAP VALUE ETF,98.77
20160104,922908652,VXF,31810.0,VANGUARD EXTENDED MARKET ETF,83.80
20160104,922908769,VTI,44.0,VANGUARD TOTAL STOCK MARKET ET,104.31
20160105,36467W109,GME,2709.0,GAMESTOP CORP (HLDG CO) CL A,28.31
20160105,464287507,IJH,4055.0,ISHARES CORE S&P MID-CAP ETF,137.51
20160105,464287622,IWB,1.0,ISHARES RUSSELL 1000 INDEX ETF,111.66
20160105,464287655,IWM,38961.0,ISHARES RUSSELL 2000 ETF,109.91
20160105,78464A714,XRT,43989.0,SPDR SERIES TR SPDR S&P RETAIL,42.97
20160105,808524763,FNDA,39091.0,SCHWAB FUNDAMENTAL U S SMALL C,27.47
20160105,922908652,VXF,66951.0,VANGUARD EXTENDED MARKET ETF,82.38
20160105,922908769,VTI,151.0,VANGUARD TOTAL STOCK MARKET ET,102.74
20160106,36467W109,GME,129.0,GAMESTOP CORP (HLDG CO) CL A,28.77
20160106,464287507,IJH,2.0,ISHARES CORE S&P MID-CAP ETF,137.62
20160106,464287622,IWB,21265.0,ISHARES RUSSELL 1000 INDEX ETF,111.88
20160106,464287655,IWM,1087974.0,ISHARES RUSSELL 2000 ETF,110.20
20160106,78464A714,XRT,166932.0,SPDR SERIES TR SPDR S&P RETAIL,43.32
20160106,808524763,FNDA,2472.0,SCHWAB FUNDAMENTAL U S SMALL C,27.54
20160106,922908652,VXF,46451.0,VANGUARD EXTENDED MARKET ETF,82.42
20160106,922908769,VTI,212.0,VANGUARD TOTAL STOCK MARKET ET,102.97
20160107,36467W109,GME,1733.0,GAMESTOP CORP (HLDG CO) CL A,28.37
20160107,464287622,IWB,173.0,ISHARES RUSSELL 1000 INDEX ETF,110.40
20160107,464287655,IWM,156931.0,ISHARES RUSSELL 2000 ETF,108.56
20160107,78464A714,XRT,210.0,SPDR SERIES TR SPDR S&P RETAIL,42.41
