DATE,EPOCHDATE,TYPE,TITLE,EDGARURL,EXHIBITS_8-K,EXHIBITS_EX-99.1,EXHIBITS_EXCEL,MAXAGE,EXHIBITS_8-K/A,EXHIBITS_DEFA14A,EXHIBITS_EX-10.2,EXHIBITS_EX-31.1,EXHIBITS_EX-31.2,EXHIBITS_EX-32.1,EXHIBITS_EX-32.2,EXHIBITS_10-Q,EXHIBITS_SD,EXHIBITS_EX-1.01,EXHIBITS_EX-1.1,EXHIBITS_EX-5.1,EXHIBITS_EX-10.1,EXHIBITS_10-K/A,EXHIBITS_EX-21.1,EXHIBITS_EX-23.1,EXHIBITS_EX-97.1,EXHIBITS_10-K,EXHIBITS_CORRESP,EXHIBITS_SC 13D/A,EXHIBITS_DEF 14A,EXHIBITS_EX-10.14,EXHIBITS_EX-10.15,EXHIBITS_SC 13G/A,EXHIBITS_S-8,EXHIBITS_EX-FILING FEES,EXHIBITS_EX-3.1,EXHIBITS_PRE 14A,EXHIBITS_EX-99.A,EXHIBITS_EX-99.B
2024-09-23,1727049600,8-K,Corporate Changes & Voting Matters,https://finance.yahoo.com/sec-filing/GME/0001326380-24-000115_1326380,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000115/gme-20240920.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000115/a991atmcompletion.htm,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000132638024000115/Financial_Report.xlsx,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-28,1724803200,8-K,Corporate Changes & Voting Matters,https://finance.yahoo.com/sec-filing/GME/0001326380-24-000100_1326380,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000100/gme-20240827.htm,,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000132638024000100/Financial_Report.xlsx,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-20,1718841600,8-K/A,Corporate Changes & Voting Matters,https://finance.yahoo.com/sec-filing/GME/0001326380-24-000076_1326380,,,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000132638024000076/Financial_Report.xlsx,1,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000076/gme-20240617.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18,1718668800,8-K,Corporate Changes & Voting Matters,https://finance.yahoo.com/sec-filing/GME/0001326380-24-000065_1326380,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000065/gme-20240618.htm,,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000132638024000065/Financial_Report.xlsx,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14,1718323200,DEFA14A,Proxy Statements,https://finance.yahoo.com/sec-filing/GME/0001326380-24-000055_1326380,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000055/a991-q2fy24proxymeetingres.htm,,1,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000055/form8-kxannualmeeting.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-11,1718064000,10-Q,Periodic Financial Reports,https://finance.yahoo.com/sec-filing/GME/0001326380-24-000030_1326380,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000030/pratmcompletion6-11x24.htm,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000132638024000030/Financial_Report.xlsx,1,,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000030/a102letteragreementbetwe.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000030/ex311-fy24q1.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000030/ex312-fy24q1.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000030/ex321-fy24q1.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000030/ex322-fy24q1.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000030/gme-20240504.htm,,,,,,,,,,,,,,,,,,,,,,
2024-06-07,1717718400,8-K,Corporate Changes & Voting Matters,https://finance.yahoo.com/sec-filing/GME/0001193125-24-156615_1326380,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000119312524156615/d614611d8k.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000119312524156615/d614611dex991.htm,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000119312524156615/Financial_Report.xlsx,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-31,1717113600,SD,Specialized Disclosure Report filed pursuant to Section 1502 of the Dodd-Frank Wall Street Reform and Consumer Protection Act relating to the use of conflict minerals (Rule 13p-1),https://finance.yahoo.com/sec-filing/GME/0001326380-24-000026_1326380,,,,1,,,,,,,,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000026/formsdconflictminerals2023.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000026/exhibit101conflictminerals.htm,,,,,,,,,,,,,,,,,,,,
2024-05-24,1716508800,8-K,Corporate Changes & Voting Matters,https://finance.yahoo.com/sec-filing/GME/0001326380-24-000020_1326380,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000020/gme-20240524.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638024000020/a991atmcompletion125290013.htm,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000132638024000020/Financial_Report.xlsx,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-17,1715904000,8-K,Corporate Changes & Voting Matters,https://finance.yahoo.com/sec-filing/GME/0001193125-24-141214_1326380,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000119312524141214/d819045d8k.htm,,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000119312524141214/Financial_Report.xlsx,1,,,,,,,,,,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000119312524141214/d819045dex11.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000119312524141214/d819045dex51.htm,,,,,,,,,,,,,,,,,,
